Name,Link,Categories,Pricing,Platforms,Tags,Description
Adobe Photoshop,https://www.adobe.com/products/photoshop.html,Image Manipulation,"Trial, Subscription","Windows, Mac, iOS",Raster,
Gimp,https://www.gimp.org/,Image Manipulation,Free,"Windows, Mac, Linux",Raster,
Affinity Photo,https://affinity.serif.com/en-us/photo/,Image Manipulation,Paid,"Windows, Mac, iOS",Raster,
Photopea,https://www.photopea.com/,Image Manipulation,"Free, Subscription",Web,Raster,
Pixelmator Pro,https://www.pixelmator.com/pro/,"Image Manipulation, Digital Painting, Graphic Art, Graphic Design",Paid,Mac,"Raster, Vector",
Bloom,http://thebloomapp.com/features/,"Image Manipulation, Graphic Art","Trial, Paid","Windows, Mac","Raster, Vector",
Microsoft Paint,https://support.microsoft.com/en-us/help/4027344/windows-10-get-microsoft-paint,Image Editing,Free,Windows,Raster,
paint dot net,https://www.getpaint.net/,Image Editing,Free,Windows,Raster,
LodePaint,https://sourceforge.net/projects/lodepaint/,"Image Editing, Pixel Art",Free,"Windows, Linux",Raster,
MyPaint,http://mypaint.org/,Digital Painting,Free,"Windows, Mac, Linux",Raster,
Painter,https://www.painterartist.com/en/product/painter/,Digital Painting,"Trial, Paid","Windows, Mac",Raster,
krita,https://krita.org/en/,Digital Painting,Free,"Windows, Mac, Linux",Raster,
Autodesk Sketchbook,https://www.autodesk.com/products/sketchbook/overview,Digital Painting,"Trial, Subscription","Windows, Mac, Android, iOS",Raster,
Procreate,https://procreate.art/,Digital Painting,Paid,iOS,Raster,
Fire Alpaca,http://firealpaca.com/,Digital Painting,Free,"Windows, Mac",Raster,
Black Ink,http://www.bleank.com/BlackInk-a115.html,Digital Painting,"Trial, Paid",Windows,Raster,
Paint Tool Sai,https://www.systemax.jp/en/sai/,Digital Painting,"Trial, Paid",Windows,Raster,
OpenToonz,https://opentoonz.github.io/e/,"Digital Painting, 2D Animation",Free,"Windows, Mac, Linux",Raster,
Clip Studio Paint,http://www.clipstudio.net/en,"Digital Painting, 2D Animation, Graphic Art","Trial, Paid","Windows, Mac, iOS","Raster, Vector",
Pencil 2D,https://www.pencil2d.org/,"2D Animation, Graphic Art",Free,"Windows, Mac, Linux","Raster, Vector",
Synfig,https://www.synfig.org/,"2D Animation, Graphic Art",Free,"Windows, Mac, Linux","Vector, Skeletal",
Spine 2D,http://esotericsoftware.com/,2D Animation,"Trial, Paid","Windows, Mac, Linux","Raster, Vector, Skeletal",
DragonBones,http://dragonbones.com/en/index.html,2D Animation,Free,"Windows, Mac","Raster, Vector, Skeletal",
Live2D Cubism,https://www.live2d.com/en/products/cubism3,2D Animation,"Free, Paid","Windows, Mac","Raster, Vector, Skeletal",
Real Illusion CrazyTalk Animator,https://www.reallusion.com/crazytalk-animator/default.html,2D Animation,"Trial, Paid","Windows, Mac","Raster, Vector, Skeletal",
Spriter,https://brashmonkey.com/,"2D Animation, Pixel Animation",Paid,"Windows, Mac, Linux","Raster, Vector, Skeletal",
Fusion Character Animator,http://fusioncharacterani.wixsite.com/helloworld,2D Animation,Paid,Windows,"Raster, Skeletal",
Unity Anima 2D,https://assetstore.unity.com/packages/essentials/unity-anima2d-79840,2D Animation,Free,"Windows, Mac, Linux","Unity Plugin, Skeletal",
Coa Tools,https://github.com/ndee85/coa_tools,2D Animation,Free,"Windows, Mac, Linux","Blender Plugin, Skeletal",
Toon Boom Harmony,https://www.toonboom.com/products/harmony,2D Animation,"Trial, Paid, Subscription","Windows, Mac, Linux","Raster, Vector",
Laigter,https://azagaya.itch.io/laigter,Normal Map,Free,"Windows, Linux",Raster,
Sprite DLight,http://www.2deegameart.com/p/sprite-dlight.html,Normal Map,Paid,"Windows, Mac, Linux",Raster,
Sprite Lamp,http://www.snakehillgames.com/spritelamp/,Normal Map,"Free, Paid",Windows,Raster,
Sprite Illuminator,https://www.codeandweb.com/spriteilluminator,Normal Map,"Trial, Paid","Windows, Mac, Linux",Raster,
BriteSprite (Unity Plugin),https://assetstore.unity.com/packages/tools/britesprite-2d-normalmapper-13823,Normal Map,Paid,"Windows, Mac, Linux",Raster,
Marmoset Hexel Suite,https://marmoset.co/hexels/,"Pixel Art, Graphic Art, Paint, Animation","Trial, Paid","Windows, Mac",Raster,Also useful for Isometric and Hexagonal Art
Pro Motion NG,https://www.cosmigo.com/,"Pixel Art, Pixel Animation, Tiled Map","Free, Paid","Windows, Mac, Linux",Raster,
Pyxel Edit,https://pyxeledit.com/about.php,"Pixel Art, Pixel Animation","Free, Paid","Windows, Mac",Raster,
GraFx2,http://grafx2.chez.com/,"Pixel Art, Pixel Animation",Free,"Windows, Mac, Linux",Raster,
Aseprite,https://www.aseprite.org/,"Pixel Art, Pixel Animation","Trial, Paid","Windows, Mac, Linux",Raster,
Grahics Gale,https://graphicsgale.com/us/,"Pixel Art, Pixel Animation",Free,Windows,Raster,
piskel,https://www.piskelapp.com/,"Pixel Art, Pixel Animation",Free,"Windows, Mac, Linux, Web",Raster,
PixelShop,https://blackflux.com/node/10,"Pixel Art, Pixel Animation",Free,"Windows, Mac",Raster,
GoyaPixel,https://jackschaedler.github.io/goya/,"Pixel Art, Pixel Animation",Free,Web,Raster,
Pixelorama,https://orama-interactive.itch.io/pixelorama,"Pixel Art, Pixel Animation",Free,"Windows, Mac, Linux",Raster,
UPA Toolkit: Pixel Art Editor,https://assetstore.unity.com/packages/tools/painting/upa-toolkit-pixel-art-editor-27680,Pixel Art,Free,"Windows, Mac, Linux","Raster, Unity Plugin",
Lospec,https://lospec.com/pixel-editor/app,Pixel Art,Free,Web,Raster,
Pikopixel,http://twilightedge.com/mac/pikopixel/,Pixel Art,Free,"Mac, Linux",Raster,
Tiled,https://www.mapeditor.org/,"Pixel Art, Tiled Map",Free,"Windows, Mac, Linux",Raster,Also useful for Isometric and Hexagonal Maps
SuperTiled2Unity,https://seanba.com/supertiled2unity.html,Tiled Map,Free,"Windows, Mac, Linux","Raster, Unity Plugin",Import Tiled Map Editor
2D Tiled Map Level Editor,https://assetstore.unity.com/packages/tools/sprite-management/2d-Tiled-map-level-editor-90420,Tiled Map,Free,"Windows, Mac, Linux","Raster, Unity Plugin",
OGMO Editor,https://ogmo-editor-3.github.io/,Tiled Map,Free,Windows,Raster,
Tile Studio,http://tilestudio.sourceforge.net/,Tiled Map,Free,Windows,Raster,
Tile Studio 2,https://www.wieringsoftware.com/ts2/,Tiled Map,"Free, Paid",Windows,Raster,
Tiledmancer,https://led.itch.io/Tiledmancer,Tiled Map,Free,"Windows, Mac",Raster,Tiled Generator
Adobe Illustrator,https://www.adobe.com/products/illustrator.html,Graphic Art,"Trial, Subscription","Windows, Mac",Vector,
Affinity Designer,https://affinity.serif.com/en-us/designer/,Graphic Art,Paid,"Windows, Mac, iOS",Vector,
Inkscape,https://inkscape.org/,Graphic Art,Free,"Windows, Mac, Linux",Vector,
Gravit Designer,https://designer.io/,"Graphic Art, Graphic Design","Free, Subscription","Windows, Mac, Linux, Web",Vector,
Vectr,https://vectr.com/,"Graphic Art, Graphic Design","Free, Subscription","Windows, Mac, Linux, Web",Vector,
Lunacy,https://icons8.com/lunacy,"Graphic Art, Graphic Design",Free,Windows,Vector,
Sketch,https://www.sketchapp.com/,Graphic Design,"Free, Paid",Mac,Vector,
Invision Studio,https://www.invisionapp.com/studio/apps,Graphic Design,"Free, Subscription","Windows, Mac",Vector,
Adobe XD,https://www.adobe.com/products/xd.html,Graphic Design,"Free, Subscription","Windows, Mac, iOS, Android","Vector, Mockup, Share",Share Prototypes with Adobe Creative Cloud
Figma,https://www.figma.com/,Graphic Design,"Free, Subscription","Windows, Mac, Linux, Web","Vector, Mockup",
Framer,https://framer.com/,Graphic Design,"Trial, Subscription",Mac,"Vector, Mockup",
Justinmind Wireframing Tool,https://www.justinmind.com/free-wireframing-tool,Graphic Design,"Trial, Subscription","Windows, Mac","Vector, Mockup",
Moqups,https://moqups.com/,Graphic Design,"Trial, Subscription",Web,"Vector, Mockup, Collaborate, Share",
Mockup,https://mockup.io/about/,Graphic Design,"Trial, Subscription","Web, iOS, Android","Vector, Mockup, Collaborate, Share",
icofx,https://icofx.ro/,"Image Editing, Pixel Art","Trial, Paid",Windows,"Raster, Icons",
Texture Packer,https://www.codeandweb.com/texturepacker,Sprite Sheet,Free,"Windows, Mac, Linux",Raster,
Leshy Labs Sprite Sheet Animator,https://www.leshylabs.com/apps/spriteSheetAnimator/,Sprite Sheet,Free,Web,Raster,2D Sprite Sheet Tester
Magic Pixelator,https://assetstore.unity.com/packages/tools/sprite-management/magic-pixelator-70201,Sprite Sheet,Paid,"Windows, Mac, Linux","Raster, Unity Plugin",Create Sprite Sheet from 2D or 3D models
Filter Forge,https://www.filterforge.com/,Image Manipulation,"Trial, Paid","Windows, Mac","Raster, Photoshop Plugin",Filters
FontSprite,https://adamstrange.itch.io/fontsprite,Font Editor,Free,"Windows, Mac, Linux",Raster,
FontForge,http://fontforge.github.io/en-US/,Font Editor,Free,"Windows, Mac, Linux",Vector,
BitFontMaker,http://www.pentacom.jp/pentacom/bitfontmaker2/,Font Editor,Free,Web,Raster,
FontStruct,https://fontstruct.com/,Font Editor,Free,Web,"Raster, Vector",
NFG's Arcade Font Engine,https://nfggames.com/games/fontmaker/,Font Editor,Free,Web,Raster,
Angel Code Bitmap Font Generator,http://www.angelcode.com/products/bmfont/,Font Editor,Free,Windows,Raster,
High Logic FontCreator,https://www.high-logic.com/font-editor/fontcreator,Font Editor,"Trial, Paid",Windows,Vector,
71 Square Glyph Designer,https://www.71squared.com/glyphdesigner,Font Editor,"Trial, Paid",Mac,Vector,
Cool Text Graphics Generator,https://cooltext.com/,"Font Editor, Graphic Art",Free,Web,Raster,
