Name,Link,Categories,PRicing,Platforms,Tags,Description
Unreal Engine Marketplace,https://www.unrealengine.com/marketplace/store,All,"Free, Paid",,,
Unity Asset Store,https://assetstore.unity.com/,All,"Free, Paid",,,
Itch.io Game Assets,https://itch.io/game-assets,All,"Free, Paid",,,
Cry Engine Marketplace,https://www.cryengine.com/marketplace,All,"Free, Paid",,,
YoYoGames Marketplace,https://marketplace.yoyogames.com/,All,"Free, Paid",,,
Reallusion Marketplace,https://marketplace.reallusion.com/,"3D, 2D",Paid,,,
Kenney Game Assets,https://kenney.nl/assets,"2D, 3D, SFX, UI, Isometric",Free,,,
Reiner's Tilesets,http://www.reinerstilesets.de/,"2D, Isometric, 3D, Texture",Free,,Attribution Required,
Open Game Art,https://opengameart.org/latest,"2D, 3D, Texture, Music, SFX",Free,,Attribution Required,
Mobile game Graphics,https://mobilegamegraphics.com/,"2D, Isometric","Free, Paid",,,
Game Dev Market,https://www.gamedevmarket.net/,"2D, 3D, Music, SFX, UI","Free, Paid",,,
Brackeys Dev Assets,https://devassets.com/,"2D, 3D, Texture",Free,,,
Game Developer Studio,https://www.gamedeveloperstudio.com/index.php,2D,"Free, Paid",,,
Placeholder,https://placeholder.com/,UI,Free,,,
Glitch the Game Assets,https://www.glitchthegame.com/public-domain-game-art/,2D,Free,,,
Game Art 2D,https://www.gameart2d.com/,2D,"Free, Paid",,,
Super Game Assets,http://www.supergameasset.com/,"UI, Icons, Isometric","Free, Paid",,,
Graphic Burger,https://graphicburger.com/,UI,Free,,,
7soul1 (Deviant Art),https://www.deviantart.com/7soul1,"2D, UI","Free, Paid",,,
Game-icons,https://game-icons.net/,"UI, Icons",Free,,Attribution Required,
Open Clip Art,https://openclipart.org/,2D,Free,,,
Sketchfab,https://sketchfab.com/store?ref=header,3D,"Free, Paid",,,
Ludic Art,http://www.ludicarts.com/,2D,"Free, Paid",,,
Renderosity,https://www.renderosity.com/,"3D, Texture","Free, Paid",,,
Craft Pix,https://craftpix.net/,"2D, UI","Free, Paid",,,
Timofey Draws,https://www.timofeydraws.com/free-stuff,"2D, UI",Free,,,
Quaternius,http://quaternius.com/assets.html,3D,Free,,,
Pixel Game Art,http://pixelgameart.org/web/,2D,"Free, Paid",,Attribution Required,
Clara.io,https://clara.io/library,3D,Free,,,
3D Art,http://3drt.com/store/,3D,"Free, Paid",,,
Daz3D Shop,https://www.daz3d.com/shop/,3D,Paid,,,
Carnegie-Mellon Motion Capture Database,http://mocap.cs.cmu.edu,3D,Free,,,Animation
Motion Capture Data,http://www.motioncapturedata.com/,3D,Free,,,Animation
Mixamo,https://www.mixamo.com/#/,3D,Free,,,"Model, Human, Animation"
Quixel Megascan,https://quixel.com/,"3D, Texture","Free, Subscription",,,High Resolution Models and Textures
TurboSquid,https://www.turbosquid.com/,3D,"Free, Paid",,,
Blend Swap,https://www.blendswap.com/,3D,Paid,,,
Hum3D,https://hum3d.com/,3D,Paid,,,
Free3D,https://free3d.com/,3D,"Free, Paid",,,
PixelSquid,https://www.pixelsquid.com/,Image,"Free, Paid",,,Image from 3D Model
Archive3D,https://archive3d.net/,3D,Free,,,
Vast View Studios,https://ue4asset.com/,"3D, Texture",Paid,,,
SpeedTree Store,https://store.speedtree.com/speedtree-store/filters/product_cat/games-library/,3D,Paid,,,Trees
3D Model Free,http://www.3dmodelfree.com/,3D,Free,,,
HighEnd3D,https://www.highend3d.com/downloads,3D,Free,,,
UE4 Forum: Foliage Starter Kit,https://forums.unrealengine.com/community/community-content-tools-and-tutorials/30694-free-foliage-starter-kit?59812-Free-Foliage-Starter-Kit=,3D,Free,,,Foliage
Arbitrary Studio Grindstone Assets,https://gumroad.com/l/uPXbQ,3D,Free,,,
3D Model Haven,https://3dmodelhaven.com/,3D,Free,,,
Verex,https://www.patreon.com/Verex,3D,,,,
Lithonia IES Photometry,https://lithonia.acuitybrands.com/photometricdownloads,IES,Free,,,
Texture Haven,https://texturehaven.com/,"Texture, HDRI",Free,,,
Textures.com,https://www.textures.com/,"Texture, 3D, Brushes, HDRI","Free, Paid, Subscription",,,
Pixar RenderMan Community Resources,https://renderman.pixar.com/community_resources,"Texture, HDRI, IES",Free,,,Some Only For RenderMan
My Free Textures,https://www.myfreetextures.com/,Texture,Free,,,
Texture King,https://www.textureking.com/,Texture,Free,,,
PlainTexture,http://www.plainTexture.com/,"Texture, Brushes",Free,,,
3D Textures,https://3dtextures.me/,Texture,Free,,,
FreeSeamlessTexture,https://sites.google.com/site/freeseamlessTexture/home,Texture,Free,,,Patterns
PolyCount Forum Post,https://polycount.com/discussion/157651/800-free-Texture/p1,Texture,Free,,,
Environment Textures,https://www.environment-textures.com/,Texture,"Free, Paid",,,
Texturify,https://texturify.com/,"Texture, HDRI","Free, Paid",,,
HDRI Haven,https://hdrihaven.com/,HDRI,Free,,,
Backyard Design Ninja Free Stuff,http://www.dumbmanex.com/bynd_freestuff.html,"2D, Sprites",Free,,Attribution Required,
Braid Graphic Briefcase,http://www.davidhellman.net/braidbrief.htm,"2D, Sprites",Free,,,
Spiral Graphics Genetica Texture Packs,http://spiralgraphics.biz/packs/index.htm,Texture,Free,,,Tiled Texture
Vecteezy,https://www.vecteezy.com/,Vector Graphics,Free,,,
Vector.Me,https://vector.me/,Vector Graphics,Free,,,
Freepik,https://www.freepik.com/,"Image, Vector Graphics",Free,,,"Vector, Image, PSD, Icons"
Public Domain Vectors,https://publicdomainvectors.org/,Vector Graphics,Free,,,
The Blueprints,https://www.the-blueprints.com/,Vector Graphics,Free,,,"Blueprints, Vector Graphics"
Sketch App Sources,https://www.sketchappsources.com/,"Vector Graphics, UI","Free, Paid",,,"Vector Graphics, UI"
Adobe Stock,https://stock.adobe.com/,Image,"Trial, Subscription",,,
Getty Images,https://www.gettyimages.com/,Image,Paid,,,
Public Domain Pictures,https://www.publicdomainpictures.net/,Image,Free,,,
Pexels,https://www.pexels.com/,Image,Free,,,
Stocksnap.io,https://stocksnap.io/,Image,Free,,,
Unsplash,https://unsplash.com/,Image,Free,,,
Morguefile,https://morguefile.com/,Image,Free,,,
Pond5,https://www.pond5.com/,"Video, Image, Vector Graphics, Music, SFX","Free, Paid",,,
New York Public Library Digital Collection,https://digitalcollections.nypl.org/,Image,Free,,,
