Name,Link,Categories,Pricing,Platforms,Tags,Description
The Game Awards,https://thegameawards.com/en-us,,,,,
D.I.C.E. Awards,https://www.interactive.org/awards/index.asp,,,,,
Game Developers Choice Awards,https://www.gamechoiceawards.com/,,,,,
Independent Games Festival,https://igf.com/,,,,,
MCV Develop Awards,https://www.mcvdevelopawards.com/,,,,,
Golden Joystick Awards,https://www.gamesradar.com/goldenjoystickawards/,,,,,
TIGA Games Industry Awards,https://tiga.org/awards/about,,,,,
Indiecade Awards,https://anywhere.indiecade.com/awards/,,,,,
BAFTA Games Awards,http://www.bafta.org/games,,,,,
Steam Awards,https://store.steampowered.com/steamawards/,,,,,
The Dreamies,https://dreamhack.com/anaheim/dreamies/,,,,,
Momocon Indie Awards,https://www.momocon.com/indies/,,,,,
Games Without Borders Awards,https://gwb.tencent.com/awards,,,,,
Czech Game Of The Year Awards,http://www.ceskahraroku.cz/,,,,,
German Computer Game Awards,https://deutscher-computerspielpreis.de/,,,,,
Develop:Brighton Star Awards,https://www.developconference.com/whats-on/develop-star-awards-2020,,,,,
GameDevHeroes,https://gamedevheroes.co/,,,,,
Game Development World Championship,https://thegdwc.com/,,,,,
Games For Change Awards,https://g4cawards.secure-platform.com,,,,,
Grads in Games Awards,https://gradsingames.com/awards/,,,,,
International Mobile Gaming Awards,https://www.imgawards.com/,,,,,
Slovak Game of the Year,http://sgda.sk/#goty,,,,,
Swedish Game Awards,https://www.gameawards.se/,,,,,
UK Games Fund Awards,https://ukgamesfund.com/ukgfnews/ukgfa19/,,,,,
Japan Game Awards,https://awards.cesa.or.jp/en/index.html,,,,,
Dreamhack Indies,https://dreamhack.com/anaheim/activities/indie-playground/,Accolades,,,,
PAX West Indie Showcase,https://west.paxsite.com/indie/,Accolades,,,,
PAX East Indie Showcase,https://east.paxsite.com/indie/,Accolades,,,,
PAX South Indie Showcase,https://south.paxsite.com/indie/,Accolades,,,,
PAX Online Indie Showcase,https://online.paxsite.com/indie/,Accolades,,,,
PAX Rising,https://online.paxsite.com/rising,Accolades,,,,
A MAZE. Awards Show,https://amaze-berlin.de/award-show/,,,,,
SXSW Gaming Awards,https://www.sxsw.com/awards/gaming-awards/,"","","","",""
GWB Game Awards,https://gwb.tencent.com/awards,"","","","",""
