Name,Link,Categories,Pricing,Platforms,Tags,Description
Jenkins,https://www.jenkins.io/,CI/CD,"","","",""
CircleCI,https://circleci.com/,CI/CD,"","","",""
Azure Pipelines,https://azure.microsoft.com/en-us/services/devops/pipelines/,CI/CD,"","","",""
AWS CodeBuild,https://aws.amazon.com/codebuild/,CI/CD,"","","",""
Google Cloud CodeBuild,https://cloud.google.com/cloud-build,CI/CD,"","","",""
Atlassian Bamboo,https://www.atlassian.com/software/bamboo,CI/CD,"","","",""
Travis CI,https://travis-ci.org/,CI/CD,"","","",""
VMware Tanzu,https://tanzu.vmware.com/,CI/CD,"","","",""
Docker,https://www.docker.com/,Container,"","","",""
Kubernetes,https://kubernetes.io/,Container Management,"","","",""
Terraform,https://www.terraform.io/,Infrastructure Management,"","","",""
Chef,https://www.chef.io/,Infrastructure Management,"","","",""
Puppet,https://puppet.com/,Infrastructure Management,"","","",""
Redhat Ansible,https://www.ansible.com/,Infrastructure Management,"","","",""
