Name,Link,Costs,Platforms,Categories,Tags,Description
GDC,https://www.gdconf.com/,,,,,
E3,https://www.e3expo.com/,,,,,
PAX,http://www.paxsite.com/,,,,,
IndieCade,https://www.indiecade.com/,,,,,
Blizz Con,https://blizzcon.com/en-us/,,,,,
Quake Con,https://www.quakecon.org,,,,,
RTX,https://www.rtxaustin.com/,,,,,
MAGFest,https://www.magfest.org/,,,,,
Dreamhack,https://dreamhack.com/,,,,,
Momocon,https://www.momocon.com/,,,,,
Wikipedia list,https://en.wikipedia.org/wiki/List_of_gaming_conventions,,,,List of game conferences,
Gameconfs,http://www.gameconfs.com/,,,,List of game conferences,
Game Dev World,https://gamedev.world/en/,,,,,
