Name,Link,Categories,Pricing,Platforms,Tags,Description
Unity,https://unity.com/,Game Engine,"Free, Subscription","Windows, Mac, Linux","2D, 3D, C#",
Unreal Engine,https://www.unrealengine.com/,Game Engine,"Free, Royalty","Windows, Mac, Linux","2D, 3D, Visual Scripting, C++",
Cry Engine,https://www.cryengine.com/,Game Engine,"Free, Royalty",Windows,"3D, Lua, C++",
Lumber Yard,https://aws.amazon.com/lumberyard/,Game Engine,Free,Windows,"3D, Lua, C++",
Godot,https://godotengine.org/,Game Engine,Free,"Windows, Mac, Linux","2D, 3D, C#, C++",
Game Maker Studio 2,https://www.yoyogames.com/gamemaker,Game Engine,"Trial, Paid, Subscription","Windows, Mac","2D, Javascript, Visual Scripting","Uses GML Scripting, similar to Javascript"
Game Maker Studio,https://store.yoyogames.com/downloads/gm-studio/release-notes-studio.html,Game Engine,Free,"Windows, Mac","2D, Javascript","Uses GML Scripting, similar to Javascript"
Source,https://developer.valvesoftware.com/wiki/Source_SDK_2013,Game Engine,Free,"Windows, Mac, Linux","3D, Lua, Squirrel, C++",
Stride,https://stride3d.net/,Game Engine,Free,Windows,"2D, 3D, C#",Formerly known as Xenko
Construct 3,https://www.construct.net/en,Game Engine,"Free, Subscription","Windows, Mac, Linux, Web","2D, Visual Scripting",A browser based game engine. Excels at making HTML 5 games
Armory,https://armory3d.org/,Plugin,Free,"Windows, Mac, Linux","3D, Haxe",Plugin for Blender to make it a Game Engine
Stencyl,http://www.stencyl.com/,Game Engine,"Free, Subscription","Windows, Mac, Linux","2D, Visual Scripting",
Scratch,https://scratch.mit.edu/,Game Engine,Free,Web,"2D, Visual Scripting",Education Tool designed to help teach kids programming my making games and animations.
RPG Maker MV,http://www.rpgmakerweb.com/products/programs/rpg-maker-mv,Game Engine,"Trial, Paid","Windows, Mac, Linux","2D, Javascript",RPG
RPG Maker VX Lite,http://www.rpgmakerweb.com/download/free-programs/rpg-maker-vx-ace-lite,Game Engine,Free,Windows,"2D, Javascript",RPG
LibGDX,https://libgdx.badlogicgames.com/,Framework,Free,"Windows, Mac, Linux","3D, Java",
Cocos,https://www.cocos.com/en/,Game Engine,Free,"Windows, Mac, Web","2D, 3D, Lua, Javascript",Mobile games
Apple Dev Kits,https://developer.apple.com/games/,Framework,Free,Mac,"2D, 3D, Swift, Objective-C",
Pygame,https://www.pygame.org/,Framework,Free,"Windows, Mac, Linux","2D, Python",
Ren'py,https://www.renpy.org/,Framework,Free,"Windows, Mac, Linux","2D, Python",Visual Novel
