Name,Link,Costs,Platforms,Categories,Tags,Description
Indiegogo,https://www.indiegogo.com/,,,Crowdfunding,,
Kickstarter,https://www.kickstarter.com/,,,Crowdfunding,,
Patreon,https://www.patreon.com/,,,Crowdfunding,,
Fig,https://www.fig.co/,,,Crowdfunding,,
Indie Fund,http://indie-fund.com/,,,Funding,,
Epic Mega Grant,https://www.unrealengine.com/en-US/megagrants,,,Funding,,
Play Venture,http://www.playventures.vc/,,,Investor,,
Yunoia,https://www.yunoia.com/,,,Investor,,
ISM,http://ism-agency.com/,,,Investor,,business and publishing assistance
Carbon,https://carbon-incubator.com/,,,Incubator,,
Plaine Images,https://www.plaine-images.fr/,,,Incubator,,
Game Camp,https://gamecamps.info/,,,Accelerator,,
Gamasutra Article,https://www.gamasutra.com/blogs/MichelleChen/20170911/305355/BIG_List_of_Incubators_Accelerators_and_Funding_Opportunities.php,,,,,"List of Incubator, Accelerators, Funding Opprotunities"
