Name,Link,Categories,Pricing,Platforms,Tags,Description
Microsoft,https://www.microsoft.com/en-us/,,,,,
Apple,https://www.apple.com/,,,,,
Samsung,https://www.samsung.com/us/,,,,,
Intel,https://www.intel.com/,,,,,
AMD,https://www.amd.com/en,,,,,
Nvidia,https://www.nvidia.com/en-us/,,,,,
Qualcomm,https://www.qualcomm.com/,,,,,
Oculus,https://www.oculus.com/,,,,,
HTC,https://www.htc.com/us/,,,,,
Valve,https://www.valvesoftware.com/en/,,,,,
Magic Leap,https://www.magicleap.com/,,,,,
Leap Motion,https://developer.leapmotion.com/,,,,,
Pico Interactive,https://www.pico-interactive.com/,,,,,
