Name,Link,Categories,Pricing,Platforms,Tags,Description
Game Maker's Toolkit,https://www.youtube.com/user/McBacon1337,YouTube,Free,Web,,Youtube Channel on Game Design
Extra Credits,https://www.youtube.com/user/ExtraCreditz,YouTube,Free,Web,,Youtube Channel on Game Design
3-Minute Game Design Playlist,https://www.youtube.com/watch?v=vw76jqF1nkI&list=PLFFUZ_uHAWMU44iAlkVoXKnsOefNYdsaK,YouTube,Free,Web,,Youtube Channel on Game Design
Cagey Videos,https://www.youtube.com/channel/UCHVNsaUszPcZhlJdXnhkYZA,YouTube,Free,Web,,
"ClassicGameJunkie ",https://www.youtube.com/channel/UCEas6ztXcwEkbaClw4zof9g,YouTube,Free,Web,,
DigiDigger,https://www.youtube.com/channel/UCCa794oAhys-HzkqdfmnjdQ,YouTube,Free,Web,,
Errant Signal,https://www.youtube.com/channel/UCm4JnxTxtvItQecKUc4zRhQ,YouTube,Free,Web,,
ESVLB Gaming,https://www.youtube.com/channel/UCsvOBhOttpnEF9HTtDUOwxw,YouTube,Free,Web,,
Folding Ideas,https://www.youtube.com/channel/UCyNtlmLB73-7gtlBz00XOQQ,YouTube,Free,Web,,
Games As Literature,https://www.youtube.com/channel/UCvaUR_-uJQcu1-c4UfUtEmQ,YouTube,Free,Web,,
GDC,https://www.youtube.com/channel/UC0JB7TSe49lg56u6qH8y_MQ,YouTube,Free,Web,,
Innuendo Studios,https://www.youtube.com/channel/UC5fdssPqmmGhkhsJi4VcckA,YouTube,Free,Web,,
Joseph Anderson,https://www.youtube.com/channel/UCyhnYIvIKK_--PiJXCMKxQQ,YouTube,Free,Web,,
Lord Faust,https://www.youtube.com/channel/UCRJfY2tT6-mQ4UkuQiZspWA,YouTube,Free,Web,,
Mark Brown,https://www.youtube.com/user/McBacon1337,YouTube,Free,Web,,
Mason Miller,https://www.youtube.com/channel/UCIr5cIzrkBIOwMCxJVJOx7Q,YouTube,Free,Web,,
Matthewmatosis,https://www.youtube.com/channel/UCb_sF2m3-2azOqeNEdMwQPw,YouTube,Free,Web,,
MrBtongue,https://www.youtube.com/channel/UCI3GAJaOTL1BoipG41OmfyA,YouTube,Free,Web,,
Noah Caldwell-Gervais,https://www.youtube.com/channel/UC5CYeHPLer3lbEhgonvbbAA,YouTube,Free,Web,,
Sunder,https://www.youtube.com/channel/UCYwIcyCwXZ--FR0iZ593uBA,YouTube,Free,Web,,
Super Bunnyhop,https://www.youtube.com/channel/UCWqr2tH3dPshNhPjV5h1xRw,YouTube,Free,Web,,
TheGamingBritShow,https://www.youtube.com/channel/UCLmzk98n_v2doN2Y20S-Zog,YouTube,Free,Web,,
Turbo Button,https://www.youtube.com/channel/UCWPTiFpzm8559H-9Err59gw,YouTube,Free,Web,,
What's With Games,https://www.youtube.com/channel/UC-qto1ZFcRtvuL_PUIiC3Qg,YouTube,Free,Web,,
Writing on Games,https://www.youtube.com/channel/UCPlWv88ZRMxCcK3BGjrX7ew,YouTube,Free,Web,,
Core-A Gaming,https://www.youtube.com/channel/UCT7njg__VOy3n-SvXemDHvg,YouTube,Free,Web,,
Pixel Prospector,http://www.pixelprospector.com/,,Free,Web,,Helpful guides to all things indie dev
Amit's Game Programming Information,http://www-cs-students.stanford.edu/%7Eamitp/gameprog.html,,Free,Web,,Helpful Guides for Programming Games
GameDev.Net,https://www.gamedev.net/articles/,,Free,Web,,A collection of articles that provide tips and guides on various game development topics
Game Program Patterns,http://gameprogrammingpatterns.com/contents.html,,Free,Web,,Book on the Design Patterns for Programming Games
Indie Boothcraft,https://indieboothcraft.com/,,Free,Web,,Tips for indies that are exhibitors at a convention
GDC Vault,https://gdcvault.com/,,"Free, Subscription",Web,,An archive of videos and powerpoint slides from previous GDC talks and panels.
Take This,https://www.takethis.org/,,Free,Web,,Mental Health Organization
IGDA Resources,https://igda.org/resources/,,Free,Web,,A collection of articles about a variety of topics focused on the Games Industry and game development
Jason Schreier,https://jasonschreier.com/,,"Free, Paid",Web,,"Games Journalist and author of Blood, Sweat, and Pixels. Uncovers stories on games production"
Lost Garden,https://lostgarden.home.blog/,,Free,Web,,"Collection of Essays on Game Design, Art, and Business"
"Business of Indie Games ",https://www.businessofindiegames.com/,,Free,Web,,Podcasts about the Business and Marketing of Indie Games
VG Insigths Articles,https://vginsights.com/insights/articles,,Free,Web,,Small Collection of Articles about indie marketing
gameindustry.biz Academy,https://www.gamesindustry.biz/academy,,Free,Web,,Collection of Articles with topics and interviews about running a games studio.
Moonlight Game Devs,https://moonlightgamedevs.com/,,Free,Web,,A Blog and Podcast site focused on indie game development.
Xbox Accessibilty Guidelines,https://docs.microsoft.com/en-us/gaming/accessibility/guidelines,Accessibility,Free,Web,,A list of guidelines to make your game more accessible to players
Game Accessibility Guidelines,http://gameaccessibilityguidelines.com/,Accessibility,Free,Web,,A list of guidelines to make your game more accessible to players
Accessible Player Experiences,https://accessible.games/accessible-player-experiences/,Accessibility,Free,Web,,A list of guidelines to make your game more accessible to players
Three Hundred Mechanics,http://www.squidi.net/three/index.php,"",Free,Web,"",A Site dedicated to documenting 300 different game mechanics
