Name,Link,Categories,Pricing,Platforms,Tags,Description,
Logitech,https://www.logitech.com/en-us,Gaming Peripherals,,,,Shop online now! Find the largest selection of Logitech Products. Official Online Store with exclusive deals. Money back guarantee. Sign up for our newsletter.,
Razer,https://www.razer.com/,Gaming Peripherals,,,,,
Corsair,https://www.corsair.com/us/en/,Gaming Peripherals,,,,,
Steel Series,https://steelseries.com/,Gaming Peripherals,,,,"SteelSeries is a top provider of gaming peripherals such as keyboards, controllers, headsets, mice, and is a leading presence in esports.",
HyperX,https://www.hyperxgaming.com/us,Gaming Peripherals,,,,"HyperX is a gaming gear brand committed to making sure every gamer feels they are included. No matter who you are, or what you play, WE'RE ALL GAMERS.",
PowerA,https://www.powera.com/,Gaming Peripherals,,,,"PowerA creates the most innovative accessories for the world's best interactive entertainment, focused on performance, quality, and enhancing the consumer experience",
Astro,https://www.astrogaming.com/,Gaming Peripherals,,,,"Looking for the best gaming headsets, controllers, and accessories for PS4, Xbox, PC & Mac? ASTRO Gaming has it all. Browse our collections!",
Turtle Beach,https://www.turtlebeach.com/,Gaming Peripherals,,,,"Turtle Beach delivers a wide selection of industry leading, award-winning gaming headsets. Our sole mission is to help every player play their best - at every level in every game.",
IOGear,https://www.iogear.com/solutions/gaming/,Gaming Peripherals,,,,,
Wacom,https://www.wacom.com/en-us,Digital Art Peripherals,,,,Wacom Global,
Huion,https://www.huiontablet.com/,Digital Art Peripherals,,,,,
Gaomon,https://www.gaomon.net/download/,Digital Art Peripherals,,,,,
XP-Pen,https://www.xp-pen.com/,Digital Art Peripherals,,,,,
Ugee,http://ugee.net/#,Digital Art Peripherals,,,,,
Massless Pen,https://massless.io/,Digital Art Peripherals,,,,"Massless enables designers and engineers to create and problem solve inside and outside of VR. Massless is being tested by the world's leading automotive, entertainment content and civil engineering.",
Monoprice,https://www.monoprice.com/category/computers-&-hardware/pen-displays-&-drawing-tablets,Digital Art Peripherals,,,,,
Tobii,https://gaming.tobii.com/,Eye Tracker,,,,"Eye tracking software for PC Games and VR, enabled for Ubisoft & Square Enix games, with hardware integrated with Alienware, Acer, Predator, MSI",
Vuelosophy,http://vuelosophy.io/,Eye Tracker,,,,,
HaptX,https://haptx.com/,Haptic feedback,,,VR,"HaptX Gloves use advanced haptic technology to bring realistic touch, force feedback, and precise motion tracking to virtual reality for business and entertainment.",
Exii,https://exiii.jp/,Haptic feedback,,,VR,"exiii develops EXOS, wearable force feedback haptic technology for VR & AR.",
Tactical Haptics,https://tacticalhaptics.com/,Haptic feedback,,,VR,"Tactical Haptics builds haptic controllers and VR games that use our novel form of touch feedback, bringing new levels of realism to virtual reality.",
StretchSense,https://stretchsense.com/,Motion Controller,,,"VR, AR","With unique stretch sensors, MoCap Pro robust motion capture gloves produce quality keyframe data that can be trained to your own pose library.",
Finch,https://finch-vr.com/,Motion Controller,,,VR,Mobile VR,
NaturalPoint,http://www.naturalpoint.com/,Motion Tracking,,,,,
Xsens 3D,https://www.xsens.com/,Motion Tracking,,,,"Xsens is the leading innovator in motion tracking technology and products. Xsens products include Motion Capture, IMU, AHRS, Human Kinematics and Wearables",
Preception Neuron,https://neuronmocap.com/,Motion Tracking,,,,Motion Capture for All. Hardware and Software for Motion Capture,
Go Motion Pro,http://www.gomotionpro.com/,Motion Tracking,,,,,
Ultrahaptic,https://www.ultrahaptics.com/,Haptic feedback,,,,"Our world-leading hand tracking and haptics powers intuitive, touchless gesture control in AR/VR, interactive kiosks, digital out-of-home and automotive.",
