Name,Link,Categories,Pricing,Platforms,Tags,Description
Unity,https://unity.com/,Game Engines,"Free, Subscription","Windows, Mac, Linux","2D, 3D, C#",
Unreal Engine,https://www.unrealengine.com/,Game Engines,"Free, Royalty","Windows, Mac, Linux","2D, 3D, Visual Scripting, C++",
Game Maker Studio 2,https://www.yoyogames.com/gamemaker,Game Engines,"Trial, Paid, Subscription","Windows, Mac","2D, Javascript, Visual Scripting","Uses GML Scripting, similar to Javascript"
Adobe Photoshop,https://www.adobe.com/products/photoshop.html,Image Manipulation,"Trial, Subscription","Windows, Mac, iOS",Raster,
Gimp,https://www.gimp.org/,Image Manipulation,Free,"Windows, Mac, Linux",Raster,
Pro Motion NG,https://www.cosmigo.com/,"Pixel Art, Pixel Animation, Tiled Map","Free, Paid","Windows, Mac, Linux",Raster,
Aseprite,https://www.aseprite.org/,"Pixel Art, Pixel Animation","Trial, Paid","Windows, Mac, Linux",Raster,
Tiled,https://www.mapeditor.org/,"Pixel Art, Tiled Map",Free,"Windows, Mac, Linux",Raster,Also useful for Isometric and Hexagonal Maps
Adobe Illustrator,https://www.adobe.com/products/illustrator.html,Graphic Art,"Trial, Subscription","Windows, Mac",Vector,
Inkscape,https://inkscape.org/,Graphic Art,Free,"Windows, Mac, Linux",Vector,
Autodesk Maya,https://www.autodesk.com/products/maya/overview,"Model, Texture, Animate, Render","Trial, Subscription","Windows, Mac, Linux",,
Blender,https://www.blender.org/,"Model, Sculpt, Texture, Animate, Render",Free,"Windows, Mac, Linux",,
ZBrush,http://pixologic.com/,"Model, Sculpt, Texture, Paint","Trial, Paid","Windows, Mac",,
Substance Painter,https://www.allegorithmic.com/products/substance-painter,"Texture, Paint","Trial, Paid, Subscription","Windows, Mac, Linux",,
Houdini,https://www.sidefx.com/products/houdini/,"Model, Texture, Animate, Render, VFX, Terrain, Cloth, Hair","Free, Subscription, License","Windows, Mac, Linux",,Includes tools for Procedural Generation and Manipulation
SpeedTree,https://store.speedtree.com/,Plant Generator,"Trial, Paid","Windows, Mac, Linux",,
World Creator,https://www.world-creator.com/,Terrain Generator,Paid,"Windows, Mac",,
Ableton Live,https://www.ableton.com/en/,DAW,Paid,"Windows, Mac",,
Avid Pro Tools,https://www.avid.com/en/pro-tools,DAW,"Free, Trial, Paid","Windows, Mac",,
DefleMask,http://deflemask.com/,Music Tracker,Free,"Windows, Mac, Linux",Retro Hardware Clone,
Bfxr,https://www.bfxr.net/,Video Game SFX,Free,"Windows, Mac, Web",,
Audacity,https://www.audacityteam.org/,Audio Editor,Free,"Windows, Mac, Linux",,
Audiokinetic Wwise,https://www.audiokinetic.com/products/wwise/,"Sound Engine, Authoring Tool","Free, Paid","Windows, Mac, Linux",,
FMOD Studio,https://www.fmod.com/studio,"Sound Engine, Authoring Tool","Free, Paid","Windows, Mac, Linux",,
AWS GameLift,https://aws.amazon.com/gamelift/,Network,"Trial, Subscription","Web, Linux",Game Server Hosting,Includes Matchmaking Solution
Google Cloud Platform,https://cloud.google.com/solutions/gaming,Network,"Free, Subscription","Web, Linux",Game Server Hosting,Includes Matchmaking Solution
Azure PlayFab,https://azure.microsoft.com/en-us/services/playfab/,Network,"Free, Subscription",Web,Game Server Hosting,Includes Matchmaking Solution and Back-End Game Solutions
deltaDNA,https://deltadna.com/,Game Analytics,"Trial, Subscription",Web,,
xsolla,https://xsolla.com/,Monetization Services,Royalty,"Windows, Mac, Linux, Web",,SDKs available for Unity and Unreal Engine
Accelbyte,https://accelbyte.io/,"Monetization Services, Muliplayer Game Services, Game Analytics",Subscription,"Windows, Mac, Linux, Web",,SDKs available for Unity and Unreal Engine
Webflow,https://webflow.com/,"Website Maker, Website Hosting, Domain Name Registar","Free, Trial, Subscription",Web,,
Netlify,https://www.netlify.com/,"Website Hosting, Domain Name Registar","Free, Subscription",Web,,Build Static websites from a Git Repository
Porkbun,https://porkbun.com/,"Domain Name Registar, Website Hosting, Email Hosting",Subscription,Web,,Free Whois Privacy
Slack,https://slack.com/,Communication,"Free, Subscription","Windows, Mac, Linux, iOS, Android, Web",,
Discord,https://discord.com/,Communication,"Free, Subscription","Windows, Mac, Linux, iOS, Android, Web",,
Microsoft Teams,https://products.office.com/en-us/microsoft-teams/,Communication,Subscription,"Windows, Mac, Linux, iOS, Android, Web",,
Trello,https://trello.com/en,Task Management,Free,Web,,
Atlassian JIRA,https://www.atlassian.com/software/jira,"Task Management, Bug Tracking","Free, Trial, Subscription",Web,,
Microsoft Azure Devops,https://azure.microsoft.com/en-us/services/devops/,"Task Management, Bug Tracking","Free, Subscription",Web,,
Microsoft Office 365,https://products.office.com/en-us,"Office Software, Collaboration, Cloud Storage","Free, Trial, Subscription, Paid","Windows, Mac, iOS, Android, Web",,
G Suite,https://gsuite.google.com/,"Office Software, Collaboration, Cloud Storage","Free, Subscription","iOS, Android, Web",,
Atlassian Confluence,https://www.atlassian.com/software/confluence,"Collaboration, Cloud Storage","Free, Subscription","iOS, Android, Web",,
GitHub,https://github.com/,VCS Hosting,"Free, Subscription",Web,Git,
Assembla,https://www.assembla.com/home,VCS Hosting,Subscription,Web,"Perforce, Git, SVN",
Git Kraken,https://www.gitkraken.com/,VCS GUI,Free,"Windows, Mac, Linux",Git,
SourceTree,https://www.sourcetreeapp.com/,VCS GUI,Free,"Windows, Mac","Git, Mercurial",
Adobe Premiere Pro,https://www.adobe.com/products/premiere.html,Video NLE,"Trial, Subscription","Windows, Mac",,
DaVinci Resolve,https://www.blackmagicdesign.com/products/davinciresolve/,Video NLE,"Free, Paid","Windows, Mac, Linux",,
OBS,https://obsproject.com/,"Screen Record, Stream",Free,"Windows, Mac, Linux",,
ESA Trends,https://www.theesa.com/esa-research/2019-essential-facts-about-the-computer-and-video-game-industry/,Trend Info,Free,Web,,
PcPartPicker,https://pcpartpicker.com/,Business,Free,Web,,Build a PC
Epic Mega Grant,https://www.unrealengine.com/en-US/megagrants,Funding,Free,Web,,
Kickstarter,https://www.kickstarter.com/,Crowdfunding,Royalty,Web,All-or-Nothing,Percentage of raised funds goes to Kickstarter and transaction fees
Patreon,https://www.patreon.com/,Crowdfunding,Royalty,Web,,
Global Game Jam,https://globalgamejam.org/,Jam,Free,Web,,
Ludum Dare,https://ldjam.com/,Jam,Free,Web,,
