Name,Link,Costs,Platforms,Categories,Tags,Description
Steam Direct,https://partner.steamgames.com/steamdirect,,,Digital Store,PC,
Epic Games Store,https://www.epicgames.com/store/en-US/about,,,Digital Store,PC,
ID@XBOX Program,https://www.xbox.com/en-US/developers/id,,"Windows, Xbox",,,
Playstation Partner,https://partners.playstation.net/,,Playstation,,,
Nintendo Developer,https://developer.nintendo.com/,,Nintendo,,,
505 Games,https://505games.com/about,,,,,
Akupara Games,https://www.akuparagames.com/,,,,,
Armor Games,https://armorgamesstudios.com/,,,,,
Big Fish,https://www.bigfishgames.com/daily/about/submit-games/,,Mobile,,,
Focus Home Interactive,http://focus-home.com/en/company,,,,,
Deep Silver,http://www.deepsilver.com/us/contact/,,,,,
11 bit Studios,http://www.11bitstudios.com/publishing/,,,,,
Iceberg Interactive,https://www.iceberg-games.com/fordevelopers/,,,,,
Rising Star Games,https://www.risingstargames.com/,,,,Japan,
Rooster Teeth Games,https://www.games.roosterteeth.com/publishing/,,,,,
Humble Bundle,https://www.humblebundle.com/publishing,,,,,
Team 17,https://www.team17.com/submit-a-game/,,,,,
Serenity Forge,http://serenityforge.com/publishing,,,,,
Boombit,https://boombit.com/publish-with-us/,,,,,
Noodlecake,http://www.noodlecake.com/publishing/,,Mobile,,,
Kongregate,https://developers.kongregate.com/publishing/,,,,,
Starbreeze,https://www.starbreeze.com/publishing/,,,,,
Six Foot,https://games.6ft.com/,,,,,
Chucklefish,https://chucklefish.org/submit/,,,,,2D and Pixel Art
Nicalis,https://www.nicalis.com/about,,,,,
Gamepix,https://www.gamepix.com/publishers/,,Web,,,
AdultSwimGames,https://www.adultswim.com/games/pitch/,,,,,
TinyBuild,http://www.tinybuild.com/contact,,,,,
FGL,https://www.fgl.com/,,,,,
RawFury,https://rawfury.com/about/,,,,,
Good Shepard Entertainment,https://goodshepherd.games/submit-your-game,,,,,
Reliance Games,https://www.reliancegames.com/send-us-your-game/,,,,,
Gaijin Entertainment,https://gaijinent.com/en/incubator/,,,,,
Handy Games,https://handy-games.com/en/publishing/,,,,,
Daedalic Entertainment,https://www.daedalic.com/about-us,,,,,
Maximum Games,https://www.maximumgames.com/about-us/for-developers/,,,,,
6 Waves,https://www.6waves.com/,,,,,
All4Games,https://www.all4games.co.uk/about.html,,,,,
Forever Entertainment,http://forever-entertainment.com/en.4devs.html,,,,,
Lab Cave,https://labcavegames.com/,,Mobile,,,
LBC Games,https://lbc-games.com/game-submission/,,,,,
MixedBag,http://mixedbag.it/the-studio/,,,,,
Pebblekick Inc,http://pebblekickinc.com/,,Mobile,,,
PlayStack,https://www.playstack.com/ps-group,,,,,
Dear Villagers,https://dearvillagers.com/publishing/,,,,,
Strelka Games,https://www.strelkagames.com/micropublishing,,,,,
Modularity,https://modularity.games/,,,,,
Devolver Digital,https://www.devolverdigital.com/static/about/,,,,,
Versus Evil,http://versusevil.com/about/,,,,,
Yodo1,https://developer.yodo1.com/en/developer-portal-home/mobile-publishing/,,Mobile,,,
Ketchapp Games,http://ketchappgames.com/developer.php,,,,,
Playdigious,https://playdigious.com/about/,,,,,
Sodesco,http://soedesco.com/about/,,,,,
Hound Picked,https://www.houndpicked.com/submit-your-game/,,,,,
Blowfish,https://www.blowfishstudios.com/,,,,,
Ludus.Games,http://ludus.games/,,,,,
Curve Digital,http://www.curve-digital.com/en-gb/partner/,,,,,
Playism,https://playism.com/page/about,,,,,
Crazy Labs,https://www.crazylabs.com/publishing/,,Mobile,,,
Thunderful Games,https://www.thunderfulgames.com/index.php/pitch,"","","","",""
