Name,Link,Categories,Pricing,Platforms,Tags,Description
Internation Age Rating Coalition,https://www.globalratings.com/,Ratings Board Service,,,,
Wikipedia List,https://en.wikipedia.org/wiki/Video_game_content_rating_system,Ratings Board Aggregate,,,,List of game Rating Boards
ESRB,http://www.esrb.org/,Ratings Board,,,USA,"ESRB ratings make it easy for parents to get informed about the video games their kids play, but there's more parents can do to stay involved and up to date."
PEGI,https://pegi.info/,Ratings Board,,,Europe,
CERO,http://www.cero.gr.jp/,Ratings Board,Console,,Japan,
EOCS,http://www.sofurin.org/,Ratings Board,"PC, Mobile",,Japan,
GRAC,https://www.grac.or.kr/english/,Ratings Board,,,Korea,
USK,http://usk.de/,Ratings Board,,,Germany,
ASB,https://www.classification.gov.au/for-industry,Ratings Board,,,Australia,"Use the guides to help you prepare to submit your requests for classification, check the rules for advertising, showing or selling and access all the classification markings downloads you need."
ClassInd,https://www.justica.gov.br/seus-direitos/classificacao,Ratings Board,,,Brazil,
KAVI,https://kavi.fi/,Ratings Board,,,Finland,
IGRS,https://igrs.id/,Ratings Board,,,India,
ICVGF,http://en.ircg.ir/,Ratings Board,,,Iran,
OFLC,https://www.classificationoffice.govt.nz/,Ratings Board,,,New Zealand,
NMC,http://nmc.gov.ae/en-us/Media-Center/Events/Pages/Age-Classification-System.aspx,Ratings Board,,,UAE,
GCAM,https://www.gcam.gov.sa/en,Ratings Board,,,Saudi Arabia,
VSC,https://videostandards.org.uk/RatingBoard/,Ratings Board,,,UK,
