Studio,Link,Categories,Pricing,Platforms,Tags,Description
DigiPen,https://www.digipen.edu/,School,,,,
Laguna College of Art and Design,https://lcad.edu/,School,,,,
Rensselaer Polytechnic Institute,http://www.hass.rpi.edu/pl/gaming,School,,,,
Ringling College of Art and Design,https://www.ringling.edu/,School,,,,
SCAD,https://www.scad.edu/,School,,,,
University of Utah,https://games.utah.edu/,School,,,,
University of Southern California,https://games.usc.edu/,School,,,,
Virtual Arts,https://www.virtualarts.co.uk/,School,,,,
"University of California, Irvine",https://uci.edu/,School,,,,
Full Sail University,https://www.fullsail.edu/,School,,,,
"University of California, Santa Cruz",https://www.ucsc.edu/,School,,,,
New York University,https://gamecenter.nyu.edu/,School,,,,
Rochester Institute of Technology,http://www.rit.edu/,School,,,,
Columbia College Chicago,https://iam.colum.edu/iamwp/,School,,,,
Carnegie Mellon University,http://www.etc.cmu.edu/,School,,,,
Acadmey of Art University,https://www.academyart.edu/,School,,,,
Abertay University,https://www.abertay.ac.uk/,School,,,,
University of Advancing Technology,https://www.uat.edu/,School,,,,
Art Institute,https://www.artinstitutes.edu/,School,,,,
Sweden Game Arena,http://swedengamearena.com/,School,,,,
CG Spectrum,https://www.cgspectrum.com/,School,,,,
Udemy,https://www.udemy.com/courses/development/game-development/,Courses,"","","",""
Pixel Games Academy,https://pixelartga.com/,Courses,"","","",""
