Name,Link,Categories,Pricing,Platforms,Tags,Description
Agile Manifesto,https://agilemanifesto.org/,Mindset,Free,Web,,Manifesto for Agile Software Development
Agile Alliance,https://www.agilealliance.org/agile101/,Organization,Free,Web,,Organization dedicated to supporting people that use the Agile Software Development Methodology
Scrum Guide,https://www.scrumguides.org/,Framework,Free,Web,,Detailed guide for the Scrum Framework of Agile Software Development
Scrum.org,https://www.scrum.org/,Organization,Free,Web,,Organization for training and certifying people that use the Scrum framework
Microsoft Sharepoint,https://products.office.com/en-us/sharepoint/compare-sharepoint-plans,"Collaboration, Cloud Storage",Subscription,"iOS, Android, Web",,
Google Drive,https://www.google.com/drive/,"Collaboration, Cloud Storage","Free, Subscription","iOS, Android, Web",,
Dropbox,https://www.dropbox.com/,"Collaboration, Cloud Storage","Free, Subscription","Windows, Mac, Linux, iOS, Android, Web",,
Mega,https://mega.nz/,Cloud Storage,"Free, Subscription","Windows, Mac, Linux, iOS, Android, Web",,
Confluence,https://www.atlassian.com/software/confluence,Collaboration,"Free, Trial, Subscription",Web,,
Jira Software,https://www.atlassian.com/software/jira,"Task Management, Bug Tracking","Free, Trial, Subscription","iOS, Android, Web",,
Perforce Hansoft,https://www.perforce.com/products/hansoft,Task Management,"Free, Subscription",Web,,
Microsoft Azure Devops,https://azure.microsoft.com/en-us/services/devops/,"Task Management, Bug Tracking","Free, Subscription",Web,,
Trello,https://trello.com/en,Task Management,Free,Web,,
Hack n' Plan,https://hacknplan.com/,"Task Management, Collaboration","Free, Subscription",Web,Game Design Doc,Production tool that brings Game Design Documentation and Project Management features together
TickTick,https://ticktick.com/,Task Management,"Free, Subscription","Windows, Mac, iOS, Android, Web",,
Airtable,https://airtable.com/,Task Management,"Free, Subscription",Web,,
ClickUp,https://clickup.com/,"Task Management, Collaboration","Free, Subscription",Web,,
Notion,https://www.notion.so/,"Task Management, Collaboration","Free, Subscription",Web,,
Monday.com,https://monday.com/,Task Management,"Trial, Subscription",Web,,
Freeter,https://freeter.io/,Task Management,"Free, Paid",Web,,
Todoist,https://todoist.com/,Task Management,"Free, Subscription",Web,,
Asana,https://asana.com/,Task Management,"Trial, Subscription",Web,,
Evernote,https://evernote.com/,Task Management,"Free, Trial, Subscription",Web,,
Taiga,https://taiga.io/,Task Management,"Free, Subscription",Web,,
Casual,https://casual.pm/,Task Management,"Trial, Subscription",Web,,
Wrike,https://www.wrike.com/,Task Management,"Free, Subscription",Web,,
Basecamp,https://basecamp.com/,Task Management,"Free, Subscription",Web,,
Git Kraken Glo,https://www.gitkraken.com/,Task Management,"Free, Subscription",Web,,
Pivotal Tracker,https://www.pivotaltracker.com/,Task Management,"Free, Subscription","iOS, Android, Web",,
Github Issue Tracker,https://help.github.com/en/articles/about-issues,"Task Management, Bug Tracking",Free,Web,,
Gitlab Issue Tracker,https://docs.gitlab.com/ee/user/project/issues/,"Task Management, Bug Tracking",Free,Web,,
Redmine,https://www.redmine.org/,Task Management,Free,Web,,Requires host/server
Bugzilla,https://www.bugzilla.org/,Bug Tracking,Free,Web,,
Bugsnag,https://www.bugsnag.com/,Bug Tracking,"Free, Trial, Subscription",Web,,
Bugsplat,https://www.bugsplat.com/,Bug Tracking,"Trial, Subscription",Web,Crash Report,
Backtrace,https://backtrace.io/,Bug Tracking,"Free, Subscription",Web,Crash Report,
Codecks,https://www.codecks.io/,Task Management,"Free, Subscription",Web,,Uses card and deck creation to track task work
