Name,Link,Categories,Pricing,Platforms,Tags,Description
GIT,https://git-scm.com/,VCS,Free,,Distributed,
SVN,https://subversion.apache.org/,VCS,Free,,Centralized,
Mercurial,https://www.mercurial-scm.org/,VCS,Free,,Distributed,
Perforce Helix Core,https://www.perforce.com/products/helix-core,VCS,"Free, Subscription","Windows, Mac, Linux",Centralized,Free for up to 5 users
Plastic SCM,https://www.plasticscm.com/,VCS,"Free, Subscription",,"Centralized, Distributed",
Team Foundation Version Control,https://docs.microsoft.com/en-us/azure/devops/repos/tfvc/overview?view=vsts,VCS,Subscription,,Centralized,
Unity Teams,https://unity3d.com/teams,VCS,"Free, Subscription",,Distributed,
GitHub,https://github.com/,VCS Hosting,"Free, Subscription",,Git,
GitLab,https://gitlab.com/,VCS Hosting,"Free, Subscription",,Git,
BitBucket,https://bitbucket.org/,VCS Hosting,"Free, Subscription",,"Git, Mercurial",
Assembla,https://www.assembla.com/home,VCS Hosting,Subscription,,"Perforce, Git, SVN",
Microsoft Azure Devops,https://azure.microsoft.com/en-us/services/devops/,VCS Hosting,Subscription,,"Git, TFVC",
Perforce HelixTeamHub,https://www.perforce.com/products/helix-teamhub,VCS Hosting,"Free, Subscription",,"Git, SVN, Mercurial",
Plastic Cloud server,https://www.plasticscm.com/plasticscm-cloud-edition,VCS Hosting,"Trial, Subscription",,"Plastic, Git",
RiouxSVN,https://riouxsvn.com/,VCS Hosting,"Free, Subscription",,SVN,
Unity Teams,https://unity3d.com/teams,VCS Hosting,"Free, Subscription",,Unity,Unity Only
Gogs,https://gogs.io/,VCS GUI,Free,,Git,Self Hosting
Github Desktop,https://desktop.github.com/,VCS GUI,Free,"Windows, Mac",Git,
Git Kraken,https://www.gitkraken.com/,VCS GUI,Free,"Windows, Mac, Linux",Git,
SourceTree,https://www.sourcetreeapp.com/,VCS GUI,Free,"Windows, Mac","Git, Mercurial",
TortoiseSVN,https://tortoisesvn.net/,VCS GUI,Free,Windows,SVN,
VisualSVN,https://www.visualsvn.com/,VCS GUI,Free,"Windows, Mac",SVN,
SmartSVN,https://www.smartsvn.com/,VCS GUI,Free,Mac,SVN,
RabbitVCS,http://rabbitvcs.org/,VCS GUI,Free,Linux,SVN,
TortoiseHg,https://www.mercurial-scm.org/wiki/TortoiseHg,VCS GUI,Free,"Windows, Linux",Mercurial,
EasyMercurial,https://easyhg.org/,VCS GUI,Free,"Windows, Mac, Linux",Mercurial,
