Name,Link,Costs,Platforms,Tags,Description
Github Desktop,https://desktop.github.com/,Free,"Windows, Mac",Git,
Git Kraken,https://www.gitkraken.com/,Free,"Windows, Mac, Linux",Git,
SourceTree,https://www.sourcetreeapp.com/,Free,"Windows, Mac","Git, Mercurial",
Helix Visual Client,https://www.perforce.com/products/helix-core-apps/helix-visual-client-p4v,"Free, Subscription","Windows, Mac, Linux",Perforce,Only for Perforce Helix Core
TortoiseSVN,https://tortoisesvn.net/,Free,Windows,SVN,
VisualSVN,https://www.visualsvn.com/,Free,"Windows, Mac",SVN,
SmartSVN,https://www.smartsvn.com/,Free,Mac,SVN,
RabbitVCS,http://rabbitvcs.org/,Free,Linux,SVN,
TortoiseHg,https://www.mercurial-scm.org/wiki/TortoiseHg,Free,"Windows, Linux",Mercurial,
EasyMercurial,https://easyhg.org/,Free,"Windows, Mac, Linux",Mercurial,
