Name,Link,Costs,Platforms,Tags,Description
GitHub,https://github.com/,"Free, Subscription",,Git,
GitLab,https://gitlab.com/,"Free, Subscription",,Git,
BitBucket,https://bitbucket.org/,"Free, Subscription",,"Git, Mercurial",
Assembla,https://www.assembla.com/home,Subscription,,"Perforce, Git, SVN",
Microsoft Azure Devops,https://azure.microsoft.com/en-us/services/devops/,Subscription,,"Git, TFVC",
Perforce HelixTeamHub,https://www.perforce.com/products/helix-teamhub,"Free, Subscription",,"Git, SVN, Mercurial",
Plastic Cloud server,https://www.plasticscm.com/plasticscm-cloud-edition,"Trial, Subscription",,"Plastic, Git",
RiouxSVN,https://riouxsvn.com/,"Free, Subscription",,SVN,
Unity Teams,https://unity3d.com/teams,"Free, Subscription",,Unity,Unity Only
Gogs,https://gogs.io/,Free,,Git,Self Hosting
