Name,Link,Categories,Pricing,Platforms,Tags,Description
Microsoft Office 365,https://products.office.com/en-us,"Office Software, Collaboration, Cloud Storage","Free, Trial, Subscription, Paid","Windows, Mac, iOS, Android, Web",,
G Suite,https://gsuite.google.com/,"Office Software, Collaboration, Cloud Storage","Free, Subscription","Web, iOS, Android",,
Atlassian Confluence,https://www.atlassian.com/software/confluence,"Collaboration, Cloud Storage","Free, Subscription","Web, iOS, Android",,
Libre Office,https://www.libreoffice.org/,Office Software,Free,"Windows, Mac, Linux",,
WPS Office,https://www.wps.com/office,Office Software,Free,"Windows, Linux, iOS, Android",,
Free Office,https://www.freeoffice.com/en/,Office Software,Free,"Windows, Mac, Linux",,
Open Office,https://www.openoffice.org/,Office Software,Free,"Windows, Mac, Linux",,
Polaris Office,https://www.polarisoffice.com/en/office,Office Software,"Free, Subscription","Windows, Mac, iOS, Android",,
Scrivener,https://www.literatureandlatte.com/scrivener/overview,Writing,"Trial, Paid","Windows, Mac",Literature Writing,
Scrapple,https://www.literatureandlatte.com/scapple/overview,Diagramming,"Trial, Paid","Windows, Mac",Mind Mapping,
Xmind,https://www.xmind.net/,Diagramming,"Free, Paid","Windows, Mac, Linux, iOS, Android",Mind Mapping,
Bubbl.us,https://bubbl.us/,Diagramming,Free,Web,Mind Mapping,
Mind42,https://mind42.com/,Diagramming,Free,Web,Mind Mapping,
Coggle,https://coggle.it/,Diagramming,"Free, Subscription",Web,Mind Mapping,
MindMup,https://www.mindmup.com/,Diagramming,"Free, Subscription",Web,Mind Mapping,
MindNode,https://mindnode.com/,Diagramming,"Free, Paid","Mac, iOS",Mind Mapping,
MindMaple,https://www.mindmaple.com/,Diagramming,"Free, Paid","Windows, Mac, iOS",Mind Mapping,
Sligrid,https://sligrid.com/,Diagramming,"Free, Subscription",Web,Mind Mapping,
MindMeister,https://www.mindmeister.com/,Diagramming,"Free, Subscription",Web,Mind Mapping,
FreeMind,http://freemind.sourceforge.net/wiki/index.php/Main_Page,Diagramming,Free,"Windows, Mac, Linux",Mind Mapping,
Microsoft Visio,https://www.microsoft.com/en-us/p/visio-professional-2019/cfq7ttc0k7cg?activetab=pivot%3aoverviewtab,Diagramming,"Paid, Subscription",Windows,,
Google Drawing,https://docs.google.com/drawings/,Diagramming,Free,Web,,
Draw.io,https://www.draw.io/,Diagramming,Free,Web,,
Balsamiq Wireframe,https://balsamiq.com/wireframes/,Diagramming,Paid,"Windows, Mac",,
Lucidchart,https://www.lucidchart.com/pages/tour,Diagramming,"Paid, Subscription",Web,,
Pencil Project,http://pencil.evolus.vn/,Diagramming,Free,Windows,,
StarUML,http://staruml.io/,Diagramming,Paid,Windows,UML,
Enterprise Architect,https://sparxsystems.com/products/ea/,Diagramming,"Trial, Paid",Windows,UML,
GenMyModel,https://www.genmymodel.com/,Diagramming,"Free, Subscription",Web,UML,
Violet UML Editor,http://alexdp.free.fr/violetumleditor/page.php,Diagramming,Free,"Windows, Mac, Linux",UML,
Astah,http://astah.net/,Diagramming,"Free, Trial, Subscription",Web,UML,
Software Ideas Modeler,https://www.softwareideas.net/,Diagramming,Free,"Windows, Mac, Linux",UML,
Dia Diagram Editor,http://dia-installer.de/,Diagramming,Free,"Windows, Mac, Linux",UML,
yED Graph Editor,https://www.yworks.com/products/yed,Diagramming,Free,"Windows, Mac, Linux, Web",UML,
Fandom Wikia,https://www.fandom.com/,Wiki,Free,Web,,
Gamepedia,https://www.gamepedia.com/,Wiki,Free,Web,,
Fextralife Wikis,https://www.wiki.fextralife.com/,Wiki,Free,Web,,
