Name,Link,Costs,Platforms,Categories,Tags,Description
Ableton Live,https://www.ableton.com/en/,Paid,"Windows, Mac",DAW,,
Presonus Studio One,https://www.presonus.com/products/Studio-One,"Free, Paid","Windows, Mac, iOS",DAW,,
Avid Pro Tools,https://www.avid.com/en/pro-tools,"Trial, Paid","Windows, Mac",DAW,,
Cockos Reaper,https://www.reaper.fm/,Paid,"Windows, Mac, Linux",DAW,,
Apple Logic Pro,https://www.apple.com/logic-pro/,Paid,Mac,DAW,,
Apple GarageBand,https://itunes.apple.com/us/app/garageband/id682658836?mt=12&ign-mpt=uo%3D4,Free,"Mac, iOS",DAW,,
Reason,https://www.propellerheads.com/en/reason,"Trial, Paid","Windows, Mac",DAW,,
FL Studio,https://www.image-line.com/flstudio/,"Trial, Paid","Windows, Mac",DAW,,
Steinberg Cubase,https://new.steinberg.net/cubase/,"Trial, Paid","Windows, Mac",DAW,,
Mixcraft,https://www.acoustica.com/mixcraft/,"Trial, Paid",Windows,DAW,,
Bandlab Cakewalk,https://www.bandlab.com/products/cakewalk,Free,Windows,DAW,,
LMMS,https://lmms.io/,Free,"Windows, Mac, Linux",DAW,,
Ardour,http://ardour.org/,Free,"Windows, Mac, Linux",DAW,,
Adobe Audition,https://www.adobe.com/products/audition.html,"Trial, Subscription","Windows, Mac",DAW,,
N-Track Studio,https://ntrack.com/digital-audio-workstation.php,"Trial, Paid","Windows, Mac, Linux, iOS, Android",DAW,,
MOTU DP,http://motu.com/products/software/dp/,"Trial, Paid","Windows, Mac",DAW,,
Tracktion Waveform,https://www.tracktion.com/products/waveform,"Trial, Paid","Windows, Mac, Linux",DAW,,
Tracktion t7,https://www.tracktion.com/products/t7-daw,Free,"Windows, Mac, Linux",DAW,,
Komplete,https://www.native-instruments.com/en/products/komplete/bundles/komplete-12/included-products/,Paid,"Windows, Mac",VST,VST Plug-in,VST package
Komplete Players,https://www.native-instruments.com/en/products/komplete/bundles/komplete-players/,Free,"Windows, Mac",VST,VST Plug-in,VST package
Kontakt 6,https://www.native-instruments.com/en/products/komplete/samplers/kontakt-6-player/,Free,"Windows, Mac",VST,VST Plug-in,VST package
Guitar Rig 5,https://www.native-instruments.com/en/products/komplete/guitar/guitar-rig-5-player/,Free,"Windows, Mac",VST,VST Plug-in,VST package
Yamaha VCS-5,http://yamamavcs5.weebly.com/,Free,"Windows, Mac",VST,VST Plug-in,VST Instrument
Audacity,https://www.audacityteam.org/,Free,"Windows, Mac, Linux",Audio Editor,,
Ocean Audio,http://www.ocenaudio.com/,Free,"Windows, Mac, Linux",Audio Editor,,
Magix Sound Forge Pro,https://www.magix.com/us/music/sound-forge/sound-forge-pro/,"Trial, Paid, Subscription","Windows, Mac",Audio Editor,,
Magix Sound Forge Music Studio,https://www.magix.com/us/music/sound-forge/sound-forge-audio-studio/,"Trial, Paid, Subscription",Windows,Audio Editor,,
MAGIX Acid Pro,https://www.magix.com/us/music/acid/acid-pro/,"Trial, Paid",Windows,DAW,Loop Focused DAW,
MAGIX Acid Music Studio,https://www.magix.com/us/music/acid/acid-music-studio/,"Trial, Paid",Windows,Music Editor,,
